id;question;answer_a;answer_b;answer_c;answer_d;correct_answer;type
2ok;Wat is een programmeertaal?;Cobra;Python;Mamba;;b;1
2ra;Waar staan de beste stuurlui volgens het spreekwoord?;Aan land;Aan het roer;Aan wal;;c;1
a5o;Hoe vaak stoot een ezel zich over het algemeen aan een steen?;Nooit;Meer dan 1 keer;Niet 2 keer;;c;1
wtj;Waarheen valt een appel volgens het spreekwoord?;Van de boom op de grond;Niet ver van de boom;Laag bij de grond;;b;1
dp3;Wat ligt er op de grond in de hotelkamer van Guus Meeuwis na een nacht die je normaal alleen in films ziet?;Lakens en een leeg krat bier;de beddensprei en een lege fles wijn;een lege fles wijn en kledingstukken die van jou of mij kunnen zijn;;c;1
vng;Hoe hoog is de toren van de grote kerk in Breda;89 meter;97 meter;97.5 meter;;b;1
mzn;Wat is het volledige adres van de Curio vestiging in Breda waar de opleiding SD verzorgd wordt?;Terheijdenseweg 350, 4826 AA, Breda;Terheijdenseweg 355, 4826 AA, Breda;Terheijdenseweg 350, 4826 AB, Breda;;a;1
puw;Wat is het volledige adres van de Curio vestiging in Roosendaal waar de opleiding SD verzorgd wordt?;Knipplein 11, 4702 GN, Roosendaal;Knipplein 21, 4703 GN, Roosendaal;Knipplein 11, 4702 GM, Roosendaal;;a;1
dkg;Welk land heeft de meeste eilanden ter wereld?;Zweden;Indonesie;Hawaii;;A;1
7ci;Wat is de best verkochte boekenreeks van de 21e eeuw?;Lord of the Rings;Harry Potter;Narnia;;B;1
wf4;Wat gebeurde er op 20 juli 1969;Apollo 11 landde op de maan;De Berlijnse muur viel;Het legendarische festival Woodstock werd gehouden;;A;1
cfn;Welke taal heeft de meeste woorden?;Spaans;Russisch;Engels;;C;1
555;Wat is het meest gestreamde album op Spotify?;Drake - Certified Lover Boy;Ed Sheeran - Shape of You;Billie Eilish - Guitar Songs;;B;1
hv7;Hoeveel toetsen heeft een klassieke piano;52;66;88;;C;1
9uv;Welke Duitse coureur heeft de meeste Formule 1-kampioenschappen gewonnen?;Michael Schumacher;Max Verstappen;Lewis Hamilton;;A;1
epo;Wanneer werd Netflix opgericht?;1997;2001;2009;;A;1
i3a;Wat was de meest bekeken serie op Netflix in 2019?;Squid game;Stranger Things;Walking Dead;;B;1
79i;Wat is Disney's eerste film?;Assepoester;Doornroosje;Sneeuwwitje;;C;1
4up;Welke achternaam komt in Nederland het meest vor?;De Jong;Janssen;De Vries;;C;1
wy7;Bij welke provincie hoort het waddeneiland Ameland;Noord-Holland;Friesland;Groningen;;B;1
qcn;Wat is de hardste steen op aarde?;Diamant;Robijn;Opaal;;A;1
mf5;Wat was de naam van de man die als eerste een voet op de maan zette?;Elon Musk;Neil Armstrong;Buddy Vedder;;B;1
bky;Waar staat het getal 3.14 voor?;Delta;Pi;Alfa;;B;1
7uu;Welke letter staat voor 1000?;G;K;Z;;B;1
9kk;In welke maateenheid wordt een beeldscherm aangeduid?;Diameter;Feet;Inch;;C;1
22n;Welk dier komt daar uit de spreekwoordelijke mouw?;slang;aap;paard;;B;1
wah;Welke twee docenten hebben dezelfde achternaam?;Joost & Michel;Kitty & Vincent;Joep & Fedde;;C;1
wtg;Hoeveel toetsen zitten er op een qwerty toetsenbord met numeriek gedeelte?;105;104;101;;B;1
iu7;Voordat onze school Curio heette hadden we een andere naam. Welke naam?;ROC West-Brabant;Radevliet College;Zomius College;;A;1
kxt;Hoeveel studenten hebben zich dit jaar opgegeven voor het introkamp?;82;86;91;;A;1
s46;Wat is de naam van de manager van onze opleiding?;Wiro Verdiesen;George Veermans;Corne Wagtmans;;B;1
kog;Los op: als 1=2, 3=18,5=50,4=32, wat is dan 6?;72;84;96;;A;1
rix;Piloot Bart gaat voor een lange vlucht richting het zuiden. Na een poosje pakt hij een bocht van 90 graden naar links en daarna een bocht van 45 graden naar links. In welke richting is Bart nu aan het vliegen?;Zuid-Oost;Noord-West;Noord-Oost;;C;1
9v6;Hoeveel strepen staan er op de Amerikaanse vlag?;10;13;16;;B;1
sei;Hoeveel toetsen heeft een klassieke piano?;44;66;88;;C;1
axa;Welke programmeertaal wordt hier omschreven? Een multi-inzetbare gecompileerde taal ontwikkeld door Bjarne Stroustrup in 1983. Het heeft de ontwikkeling van veel andere talen beinvloed.;C;C++;C#;;B;1
ope;Vul hier iets leuks in;;;;;;3
